trek_id,trek_name,category,starting_point,start_lat,start_lon,start_elevation,ending_point,end_lat,end_lon,end_elevation,distance_km,duration_days,difficulty,best_season,approx_cost,,
1,Nag Tibba,Beginner,Pantwari,30.5822,78.0261,1400,Nag Tibba Summit,30.5867,78.1506,3022,16,2,Easy-Moderate,Sep–Jun,"₹2,500–₹4,000",,
2,Benog Tibba,Beginner,Cloud End,30.4578,77.9945,2000,Benog Peak,30.4652,78.0125,2240,8,1,Easy,All year,"₹1,000–₹2,000",,
3,George Everest,Beginner,Hathipaon,30.4534,78.021,2050,George Everest Peak,30.4568,78.0132,2150,5,1,Easy,All year,"₹500–₹1,500",,
4,Landour–Lal Tibba,Beginner,Char Dukan,30.4618,78.0983,2280,Lal Tibba Peak,30.4655,78.106,2346,4,1,Easy,All year,"₹500–₹1,500",,
5,Deoriatal,Beginner,Sari,30.495,79.1245,2000,Deoriatal Lake,30.5186,79.1306,2438,5,1–2,Easy,Sep–Jun,"₹2,000–₹3,500",,
6,Deoriatal–Chandrashila,Beginner,Sari,30.495,79.1245,2000,Chandrashila Peak,30.4897,79.2215,3690,18,3–4,Moderate,Sep–Jun,"₹6,000–₹8,500",,
7,Tungnath,Beginner,Chopta,30.4851,79.1765,2680,Tungnath Temple,30.4883,79.2166,3680,7,1–2,Easy-Moderate,May–Nov,"₹2,000–₹4,500",,
8,Auli–Gorson Bugyal,Beginner,Auli,30.5312,79.5658,2650,Gorson Bugyal Top,30.5195,79.5532,3050,7,1–2,Easy,Jan–Jun,"₹1,500–₹3,500",,
9,Kunjkharak,Beginner,Pangot,29.4187,79.4185,1980,Kunjkharak,29.4521,79.3512,2300,15,2–3,Easy-Moderate,Oct–May,"₹3,000–₹5,000",,
10,Pangot–Kilbury,Beginner,Pangot,29.4187,79.4185,1980,Kilbury,29.415,79.432,2195,10,1–2,Easy,All year,"₹1,500–₹3,000",,
11,Naina Peak,Beginner,Mallital,29.3934,79.4513,1938,Naina Peak,29.4042,79.4447,2615,8,1,Easy,Sep–Jun,"₹1,000–₹2,500",,
12,Snow View–Land's End,Beginner,Nainital,29.3934,79.4513,1938,Snow View,29.3965,79.4566,2270,6,1,Easy,Sep–Jun,"₹1,000–₹2,000",,
13,Khurpatal,Beginner,Nainital,29.3934,79.4513,1938,Khurpatal Lake,29.3789,79.4313,1635,10,1,Easy,Sep–Jun,"₹1,000–₹2,000",,
14,Binsar Zero Point,Beginner,TRH Binsar,29.7042,79.7431,2300,Zero Point,29.7118,79.7465,2412,4,1,Easy,Oct–May,"₹1,000–₹2,500",,
15,Kasar Devi–Binsar Trail,Beginner,Kasar Devi,29.6375,79.6335,1960,Binsar Sanctuary,29.7042,79.7431,2412,14,1–2,Easy-Moderate,Oct–May,"₹2,000–₹4,000",,
16,Jageshwar–Vriddha Jageshwar,Beginner,Jageshwar,29.6372,79.854,1870,Vriddha Jageshwar,29.6545,79.851,2240,6,1,Easy,Sep–Jun,"₹1,000–₹2,000",,
